content,id,trans_eng
"@Askrlfess Tergantung kamu mau pakenya apa. Kalo kemaren aku pasang xlhome tuh biaya pemasangannya gratis terus perbulannya 304rb unlimitied, udah sama stb dan kuota internet di hp",1572829525255208960,"@Askrlfess depends on what you want to use. If yesterday I installed xlhome, the cost of installation is free and the monthly month is 304 thousand unlimitled, already the same STB and the internet quota on the cellphone"
"@XLHome kecepatan internet yang saya didapatkan setelah perbaikan masih belum sesuai, harusnya dapat 100 Mbps",1572545085262430208,"@Xlhome internet speed that I got after repairs are still not appropriate, it should get 100 Mbps"
@xlhomeid Xlhome,1572542331718627328,@xlhomeid xlhome
@xlhomeid Xlhome,1572542250076491778,@xlhomeid xlhome
@xlhomeid Kok xlhome stbnya ga support netfilx?,1572534978587787264,@xlhomeid how come the xlhome stb doesn't support netfilx?
wifi di bjm ni apa aja ada /wal xlhome belum kwa ke tengah kota jar,1572251402709368834,WiFi in BJM is there any /Wal Xlhome has not yet been to the middle of the city of Jar
kost louise house ini ap tdk mau ganti wifi jadi xlhome,1572152988063666177,This louise house boarding house doesn't want to change wifi to xlhome
"@banjarbase larangnya lah , aku xlhome 30mbps 280an ja",1572128008265400325,"@banjarbase ban it, I xlhome 30mbps 280s"
"@pawpukupp @ciyumdong Huwaaa😭
Mau juga yg bisa buat hp an sama tv
Kontak xlhome nya langsung ini ya?",1571814847863730177,"@pawpukupp @ciyumdong huwaaaa
Want also those who can make a cellphone and TV
This XLHOME contact is directly, huh?"
@xlhomeid xlhome,1571552783651966978,@xlhomeid xlhome
"Capek banget gak tuh aku selama ini gak bisa buka insta di web bukan keblokir chrome tapi keblokir xlhome, alias anjeng aneh bgt lu",1571461559683289089,"I'm not really tired that all this time I can't open insta on the web instead of blocking chrome but the blocking xlhome, aka anjeng weird"
xlhome kg bosen ap gangguan mulu,1571360817018441731,xlhome kg bored AP Mulu Disorders
saran wifi selain xlhome indihom sm cbn dong guys,1571103731713994752,Wifi advice other than xlhome indihom sm cbn guys
wifi xlhome kek babi,1571097100993310723,wifi xlhome kek pig
Xlhome pang srajin yg rancak meatar brosur ke kontrakan nda ni,1570973204981882880,Xlhome pang srajin who is rancak or only the brochure to the rented house
@xlhomeid Xlhome,1570822521372700672,@xlhomeid xlhome
@Cintaprasti_ gak ada. mau xlhome atau xl biasa no service semua,1570820251151134722,@Cintaprasti_ Nothing. want xlhome or xl ordinary no service all
"wah gila. xl kenapa ya? mau xl atau xlhome gak ada jaringan sama sekali hahahaha kocak provider satu ini. awalnya aja bagus pake xlhome, makin kesini makin kesana. lawak",1570810562338246659,"Wow crazy. xl why? Want XL or Xlhome there is no network at all hahahaha hilarious provider this one. At first it was good to use xlhome, the more here the more there. comedy"
"@AdityaAnjas Hi Bapak Aditya, mohon maaf sekali ya, jadi tidak nyaman. Terkait layanan XLHome dapat disampaikan via DM ya. Thanks - ^Ersa",1570806710079750145,"@Adityananjas hi, Mr. Aditya, sorry, so uncomfortable. Regarding XLHOME services, it can be delivered via DM. Thanks - ^ersa"
@xlhomeid Xlhome,1570467077890383872,@xlhomeid xlhome
Abis ngatain indihome dirumah orang sekarang xlhome lemot cong,1570409374409199619,After ngatingin indihome at home people now xlhome slow cong
@dikanchut XLhome ada infonya berapa kuota berapa rupiah tyduck,1570327040553029632,@dikanchut xlhome
Ini kenapa xlhome GG tersambung jaringan terus yak.. @xlhomeid . Dah 1 jam cuy. Parah sih,1570316506457862146,This is why Xlhome GG is connected to the network and yak .. @xlhomeid. Already 1 hour cuy. It's bad
@sensitivepink XL pakai yang XLhome.,1570309221492850688,@sensitivepink XL use the xlhome.
@xlhomeid Xlhome,1570099380761530368,@xlhomeid xlhome
@ciyumdong xlhome,1569677344784416769,@ciyumdong xlhome
@xlhomeid xlhome,1569012714441437184,@xlhomeid xlhome
@Prigel_ xlhome yoo iso trouble too din? tak kiro mung indihom*,1568818495659573248,@Prigel_ xlhome yoo iso trouble too din? No Kiro Mung Indihom*
xlhome ngopoi?,1568818178503118848,XLHOME NGOPOI?
@xlhomeid xlhome,1568649137775849475,@xlhomeid xlhome
Mau netflix premium yg bisa di xlhome dong,1568569755203964929,Want a premium netflix that can be on xlhome
@XLHome mohon di bantu tidak ada koneksi internet,1568567689152712705,@Xlhome please help with no internet connection
@xlhome :),1568233013326278656,@xlhome :)
@xlhomeid kak nanya dong. Kalau paket yang xlhome fiber kan dapat android tv box. Itu jadinya hak milik atau hanya dipinjamkan selama berlangganan?,1568147290929639424,@xlhomeid sis ask me. If the xlhome fiber package can be Android TV Box. Is that the right to ownership or only loaned during subscription?
"@ssefnum Ada, xlhome 274k/bulan udah sama tvnya. Aku pake ini dulu, sekarang karena  aku upgrade paketnya jadinya 304k/bulan, soalnya ini sekalian sama kuota data kalo lagi di luar rumah. Kalo ga tambah pake paket kuota data tetap 274k kok.",1568108599200874496,"@ssefnum there, xlhome 274k/month already with the TV. I used this first, now because I upgraded the package so it was 304k/month, because this is the same as the data quota when outside the house. If you don't add the data quota package, it's still 274k."
@xlhomeid Xlhome,1567837867854135298,@xlhomeid xlhome
@xlhomeid Xlhome,1567561334677712901,@xlhomeid xlhome
@hendysastro Arep pasang bznt po XLhome rung tekan e jaringan e 😓,1566824042006745088,@hendysastro Arep Install BZNT PO XLHOME RUNG Press E Network E 😓
Xlhome kenapa km hdjdkskauwhqjakhdwk,1566419892328603648,Xlhome why km hdjdkskauwhqjakhdwk
@bknprincesslagi @kdrhlxo Pke wifi xlhome kak.,1566370322684989441,@bknprincesslagi @kdrhlxo pke wifi xlhome sis.
@xlhomeid sudah itu balesan dari DM kalian. Gak ada solusi. Intinya tidak bisa pakai netflix di @xlhomeid dengan AX810. Nyesel langganan XLHome,1566332515962331136,@xlhomeid already in reply from your DM. There is no solution. The point is not able to use Netflix at @xlhomeid with AX810. Slipping XLHOME subscription
@ninocolus sukur ada biznet atau firstmedia atau xlhome. harga lebih murah koneksi juga lebih sip,1566057366965329920,@ninocolus Sukur there is Biznet or Firstmedia or Xlhome. cheaper prices for connections are also more sip
"Capek banget indihome makin kesini makin lelet, ganti ke xlhome aja kali ya",1566022898917470208,"Indihome is so tired, the more slow here, just change to XLHOME"
@xlhomeid xlhome,1565750704681414656,@xlhomeid xlhome
@xlhomeid xlhome,1565386815854755845,@xlhomeid xlhome
"XLHome mulai deh butut bgt kalo udh malem, diatas jam 8 malem udh lemot bgt",1565344236647895040,"Xlhome starts so worn out if it's already late, above 8 o'clock night already slow"
xlhome complainnya lebih ribet ternyata dibanding indihome,1564869659425329153,Xlhome complaints more complicated than Indihome
YA ALLAH xlhome kebiasaan bangeetttt jam segini malah kaga ada jaringaannnnnnnn,1564312653001945088,O Allah XLHOME Habits of this hour at this time even if there is a network
"Internet mati.

Indihome: restart modem x3
XLHome : https://t.co/jqvlkTJO9O",1564310065875562496,"The internet is dead.

IndiHome: Restart Modem X3
XLHOME: https://t.co/jqvlktjo9o"
@xlhomeid baru pasang xlhome sebulan dan kualitasnya segini aja nih? Sebulan aja? Seharian internet benar2 lambat. https://t.co/kKElLvRsZK,1564223678153248768,@xlhomeid just install xlhome a month and the quality is just this? Just a month? All day the internet is really slow. https://t.co/kkellvrszk
@idrakann xlhome,1564085739003908097,@idrakann xlhome
@LJENOtre i feel you bin tp gue xlhome,1564070150080704512,@Ljenotre i feel you bin but I'm xlhome
"@ridwanhr Kalo di daerah gitu harganya pada bubble juga gak sih?

Kadang kepikiran pindah ke daerah dah... cuman kemana ya? Yang daerahnya udah ada fiber optik (buat kerja) kyk cbn atau xlhome, pokoknya selain indihome dah 🤣😂

Di Ambarawa gitu enak gak ya? Apa klaten? 😆",1563747531091492864,"@ridwanhr if in the area the price is on bubble too?

Sometimes thinking to move to the area ... where are you? Whose area already has optical fiber (for work) like CBN or XLHOME, just besides IndiHome already 🤣😂

Is it good in Ambarawa? What is Klaten? 😆"
"Sungguh aneh dan mengecewakan kebijakan yang diterapkan @xlhomeid . Mau upgrade paket ga bisa.

Cara yang harus dilakukan adalah pengajuan penghentian layanan, lalu daftar lagi pake paket yang baru 😅

Janji sales dan kenyataan juga ada yg tidak sesuai. 🤦🏻‍♂️ 
XLHome",1563615623665446912,"It is really strange and disappointing the policy implemented @xlhomeid. I want to upgrade the package.

The way that must be done is to submit a service termination, then register again using a new package 😅

SALES promises and reality are also inappropriate. 🤦🏻‍♂️
Xlhome"
"@xlhomeid Halo min, xlhome saya gangguan nih. Tolong dicek dong",1563555822369927168,"@xlhomeid hello min, my xlhome is disturbed. Please check please"
"@jejestudyhard Hi Ibu Jeje, apabila ada pertanyaan seputar XLHome bisa hubungi kami di :
820 (dari no XL) free
08170123442 (dari no non-XL) tarif normal
WhatsApp : 08170010820
Email : XLHomeCS@xl.co.id
FB : XL HOME
Twitter : @XLHomeID
Thanks  - ^Ersa",1563412618765008897,"@jejestudyhard Hi Mrs. Ibu, if there are questions about xlhome, you can contact us at:
820 (from no xl) free
08170123442 (from Non-XL No) Normal Rates
WhatsApp: 08170010820
Email: xlhomecs@xl.co.id
Fb: xl home
Twitter: @xlhomeid
Thanks - ^ersa"
@cloudetthunder @ezash Nih ras ada kayak xlhome gue. Tp kartu telkomsel @laraskinandita,1563384893819654145,@cloudetthunder @ezash here is there like my xlhome. But Telkomsel @laraskinandita card
"@bersedih_ emg suka gitu. xlhome jg gtu.
kdg colokan ny gw lps psg sih",1563351215530201092,"@bnedih_ Emg like that. xlhome too.
kdg plug my ny lps psg anyway"
@jogjamnfs kalo ke cover biznet atau XLhome pake itu aja daripada indihumu,1563143771352489986,"@jogjamnfs if you go to the Biznet or xlhome cover, just use it instead of your sense"
"@jogjamnfs Kalau daerah kota mending Biznet/Citranet/XLHome

Kalau daerah Bantul plosok cm ada indihome",1563129958385725442,"@jogjamnfs If the city area is better biznet/citranet/xlhome

If the Bantul Plosok area there is Indihome"
mo masang xlhome di bjb mehubungi kemana yo /wal,1563047191651880962,Mo Masang Xlhome in BJB contacted where Yo /Wal
Xlhome kebiasaan bgt kalo malemmmm giniii YA ALLAH TOLONGGG,1562833786269642754,Xlhome is really a habit if it's late
"@NdrewsTjan Masnya yg ngetweet ini kemarin posting pas indihome kena kabar nyebar database, ujungnya dia bilang pake XLhome, skrg aqua galon ga sehat, ujungnya pake lemineral 😅😅😅",1562761568253018115,"@Ndrewstjan, who was tweeting, yesterday posted yesterday when Indihome was hit by news spreading databases, in the end he said using xlhome, now the galon is not healthy, the end uses lemineral 😅😅😅"
@bangpepin @XLHome Sama bro. Katanya waktu di dm sdg maintenance. Tapi skg ga nyala2 internetnya.,1562574353639694336,@bangpepin @xlhome with bro. He said when at DM SDG Maintenance. But now it doesn't turn on the internet.
"Kok sejak tadi mlm internet putus? Saya pelanggan xl home jogja subs id 38418600. Sejak tadi malam status ""No internet"" Sudah coba restart tetap sama. Mohon diperbaiki segera! @xlhome",1562567151135096838,"How come the internet has been broken? I am a customer of XL Home Jogja Subs ID 38418600. Since last night the status of ""Internet No"" has tried restarting the same. Please fix it immediately! @xlhome"
Bisa bisanya kumat xlhome kontol awas kau nanti siang jgn cari gara gara,1562525669346930688,Can usually reconcile xlhome dick alert you later in the afternoon don't look for it because
xlhome huooooooooo uooo ooouuoobsjskabiaakkaka,1562496726485041158,xlhome huooooooooo uooo ooouuoobsjskabiaakkaka
kendala xlhome no connection terus @xlhomeid @xlhomejogja,1562494838159065089,Constraints xlhome no connection continues @xlhomeid @xlhomejogja
kebiasaan bgt xlhome kl jam segini pasti lemottt,1562489752778969088,The habit is really xlhome at this hour it must be slow
"@xlhomeid gimana nih, minta password pppoe aja sampe 2 hari nunggunya, bolak balik telpon call centre jawaban nya tunggu di telpon, sampe skrg ga ada di telpon #xlhome #xlhomepayah",1562085526735560715,"@xlhomeid how do I do this, just ask for a PPPOE password until 2 days of waiting, back and forth calling call the answer answer, wait on the phone, until now it's not on the phone #xlhome #xlhomepayah"
"@videorobber @xlhomeid @Xlhome_Jogja @xlhomejogja Di daerah Janti Jogja ga bisa akses twitter, youtube di tv ga bisa muter video ...",1562080650706190337,"@videorobber @xlhomeid @xlhome_jogja @xlhomejogja in the janti jogja area can't access twitter, youtube on tv can't play video ..."
"xlhome ngeselin, ditungguin berjam-jam ga normal giliran ngadu blm dibales udah bisa normal aja koneksinya. Ini kejadian udah 2 kali 😠",1562073966151290883,"Xlhome ngeselin, waiting for hours not normal turn to complain not yet in the bales can already be normal. This is the incident 2 times 😠"
"@xlhomeid @Xlhome_Jogja @xlhomejogja lagi gangguan ya area Janten, Kasihan, Bantul?",1561911436007264256,"@xlhomeid @xlhome_jogja @xlhomejogja again disturbance yes janten area, sorry, bantul?"
"@xlhomeid mohon dibantu dong, sy udah bayar xlhome tapi status wifinya masih terhubung tapi tdk ada internet",1561882940589711360,"@xlhomeid please help, I already paid xlhome but the status of the wif is still connected but there is no internet"
wifi xlhome kek tai dah kalo malem2 babi,1561708127166541829,wifi xlhome kek tai if it's night
@qalsrama Tidurnya sambil megangin kabel fibre optiknya XLhome om 😆,1561677722203475969,@qalsrama sleep while holding the optical fiber cable xlhome uncle 😆
Aku. Pelanggan xlhome yg lbh murah dan lbh kencang. https://t.co/49cYFpFbBP,1561650477846372354,I. Xlhome customers who are more cheap and firm. https://t.co/49cyfpfbbp
@xlhomeid tolong cek dm! bot lu ga jelas email gw ga ke daftr biji mata lu meledak! selama ini gw di email pihak xlhome pake email hantu apa? cek dm gesit kerjaan gw berantakan gara² ga bsa lapor jaringan  loss!,1561605202998087680,@xlhomeid please check DM! Your bot unclear my email doesn't go to your eyes to explode! During this time I was in the xlhome email using ghost email? Check DM nagging my work messy because I can't report the loss network!
ya allah xlhome sama biznet kpn masuk komplek guee https://t.co/gOqvL3R4VU,1561545539732525057,O Allah Xlhome and Biznet Kpn entered my complex https://t.co/goqvl3r4vu
@BanyuSadewa lah XlHome jg gini kok sm aja,1561532740847411200,@Banyusadewa is xlhome too like this
@starsunsine @BanyuSadewa Ini nih. Sama. Di komplek lain udah bs pakek xlhome. Tempat ku doang cman bs indihom.,1561476942955589632,"@starsunsine @banyusadewa here. The same. In another complex, I can use XLHOME. Where I do cman bs indihom."
@BanyuSadewa @yrsatyas XLhome 100mbps? Kena brp bang? Mau jd pertimbangan pensi dr indigo,1561396545379266561,"@Banyusadewa @yrsatyas xlhome 100mbps? Hit, bro? Want to be Pensi Dr. Indigo"
"Mending xlhome, jaringan stabil, muter netflix lngsung hd https://t.co/9PHvNQ5x4P",1561370622768214016,"Mending xlhome, stable network, turn to netflix lngsung hd https://t.co/9phvnq5x4p"
@mipujo0 Yeee ketauan nonton begituan pake xlhome,1561363590220722176,@mipujo0 yeee caught watching like that using xlhome
@BanyuSadewa Di makassar kek gitu. Setelah kurleb 2 tahun make baru brhenti daaaan tadaaa xlhome hadir merubah segalanyaaa,1561362873829699584,"@Banyusadewa in Makassar. After Kurleb 2 years, the new make you stop and tadaaa xlhome is here to change everything"
Tolong dong XLHOME,1561346678174920705,Please xlhome please
@minicarrr @BanyuSadewa @ardianpancaa brp xlhome kak,1561324801116975105,@minicarrr @banyusadewa @ardianpancaa brp xlhome sis
"@BanyuSadewa @_waenyeoll @BiznetHome Samaa.. klo gw awalny dr firstmedia, gedeg bgt gangguaaann mele, mana lemot bgt.. akhirnya putus, pindah XLHome.. more stable and cheaper..",1561310853114503169,"@Banyusadewa @_waenyeoll @biznethome the same ... if I was the beginning of Firstmedia, so big mele mele, where is it slow ... finally broke up, move xlhome .. more stable and cheaper .."
"@yrsatyas Dimana2 emang kalo blm setaon kena denda 1 juta.
Tp better lah nih pake XLHome 100mbps aku pake lebih murah drpd Indihome dan jarang gangguan lemot juga",1561308265518333953,"@yrsatyas everywhere if you haven't been fined 1 million.
But it's better to use xlhome 100mbps I use cheaper than IndiHome and rarely slow disorders too"
"@BanyuSadewa Tapi xlhome juga gt kak nyu, bedanya dia alatnya diambil masnya sih😂 cuma sama aja kalau blm setahun kenan denda sejeti dan kudu 1-2 hari setelah bayar minta cabut, sama jugaakk",1561307082824880128,"@Banyusadewa but xlhome is also gt sis nyu, the difference is he is taken the tool, the mas is just the same if it's not a year for a year and must be 1-2 days after paying asking for to pull out, the same"
@MyChemical_Rmnc @IndiHome Biznet sama XLHome,1561247348226871296,@Mychemical_rmnc @IndiHome Biznet with Xlhome
@xlhomeid xlhome,1561040234791374848,@xlhomeid xlhome
Xlhome lagii jele bangetttt kaahhhh,1560868694745526272,XLHOME AGAIN JELE SURE
XLhome kocak banget promosi kasih brosur ke rumah gua tp pas mau pasang ga ke cover. Trus ngapain lu promosiin kerumah gua anying. Padahal tiangnya pun deket tp ga ngasih solusi gimana biar customer tetep bisa pasang. KOCAK,1560842960136048640,Xlhome is very hilarious promoting to love brochures to my house but when I want to install it not to the cover. Then what are you doing to the house. Even though the pole is close but not giving a solution how to make the customer still can install it. Hilarious
Pemakai XLhome daerah BJM aman ajalah ? Kdd gangguan lah?,1560564320840216576,BJM area xlhome users are safe? KDD Disorders?
@convomf Caranya gimana weh? Gua make xlhome,1560160920831029248,@Convomf how do you do it? I make xlhome
"Ini kan rencana saya mau masang wifi XLHome, nah apakah penarikan kabel dari gardu/fibernya ke rumah itu dikenakan biaya penarikan? Soalnya teknisi yang cek lokasi memberikan biaya untuk penarikan kabel. @xlhomeid",1560097202025816064,"This is my plan I want to put on a wifi xlhome, well, is the cable withdrawal from the substation/fiber to the house is subject to withdrawal fees? The problem is that the technician who checks the location provides a fee for cable withdrawal. @xlhomeid"
@xlhomeid Xlhome,1559589922771677184,@xlhomeid xlhome
mau xl maupun xlhome semuanya bobrok,1559136930205315072,want xl or xlhome everything is dilapidated
@beautifuldaey xlhome,1559006500605263872,@beauutifuldaey xlhome
"@mks_fess XLhome download uploadnya sama, kalo Indihome Download 10Mbps uploadnya cuma 1,2Mbps begitu seterusnya. Tapi nda tau iya sekarang XL krna 2020 dulu itu.",1558698724230316032,"@mks_fess xlhome download the same upload, if indihome downloads 10mbps uploads only 1.2mbps and so on. But you know yes now xl because of 2020 it used to be."
"@banjarbase misal kam main game menurut ku xlhome, ku makai indi malah ngedown rnck bekajut 🥲",1558129479486033920,"@banjarbase, for example, we play games, I think xlhome, I use indi instead of being nagging RNCK Bekajut 🥲"
Makin hari makin busuk aja indihome. Biznet xlhome cepetan dah cover sini,1558113797810049024,The more it is getting more and more rotten Indihome. Biznet Xlhome hurry up Cover here
"@xlhomeid selamat sore min, min ini saya mau ganti wifi jadi xlhome, cuma rumah saya ini belum ke cover.. tapi beda beberapa rumah aja, ada solusinya kah? https://t.co/dPwoUzPrGW",1558030347572772865,"@xlhomeid good afternoon min, min this I want to change wifi to xlhome, only my house hasn't been covered yet ... but it's different from a few houses, is there a solution? https://t.co/dpwouzprgw"
xlhome kenapa sering bgt gangguan sih😭,1558030014909624320,xlhome why often disturbance
@banjarbase 2tahun dah labih. Sekali ja gangguan pang nh xlhome. Gara2 kabel ditatak org.,1557965889508495360,@banjarbase 2 years dah labih. Once a disturbance to Pang NH Xlhome. Because the cable is on the person.
@xlhomeid Xlhome,1557924843651141633,@xlhomeid xlhome
@xlhomeid Xlhome,1557924807169044480,@xlhomeid xlhome
@xlhomeid Xlhome,1557924731650580481,@xlhomeid xlhome
@xlhomeid Xlhome,1557415663475384320,@xlhomeid xlhome
"@xlhomeid Kenapa musti di DM biar pengguna xlhome lainnya gak pada tau yaaa atas kendala yg dialami selama 3bulan ini yg cuma disuruh bayar doang tp ga dapet benefit dari pembayaran??? 
HEHEHEHE",1557044385363415040,"@xlhomeid why should you have to be in DM so that other XLHOME users don't know, yes, for the obstacles experienced during these 3 months, which are only told to pay but they don't get the benefits of payment ???
Hehehehe"
"@mks_fess Xlhome murah bagus tapi ad jam2 tertentu nya merah jaringan tapi sementara, Biznet bagus tapi mahal. Tergantung",1557006121214562309,"@mks_fess xlhome cheap good but there are certain hours red tissue but temporarily, Biznet is good but expensive. Depends"
tabe saranta bde mending biznet atau xlhome?,1556968025878044673,Tabe Saranta Bde mending Biznet or Xlhome?
Xlhome gabisa kalo ga eror ya tiap bula tuh 😌,1556943565934055424,Xlhome can't be an error every bulan 😌
anjiiiir ni xlhome ga bershabat bgt kalo war,1556913381986033664,Anjiiiir ni xlhome is not friendly if war
semua akun valo ku kena banned karna kamu xlhome @xlhomeid,1556711557899653120,All my Valo accounts were banned because you xlhome @xlhomeid
"@xlhome, 
Saya sudah email ke cs sejak 23 Juli, namun CS tidak dapat menjelaskan mengenai tagihan tersebut.

Pelayanan XL home buruk sekali",1556497764233621504,"@xlhome,
I have been emailing to CS since July 23, but CS cannot explain the bill.

XL Home Services Very Bad"
"@xlhome, 
1. Bagaimana mungkin tagihan sudah berjalan sejak 16 Juli sementara alat baru dipasang 17 Juli?
2. kenapa ditagihan ditulis paket superuser ? padahal berlangganan paket family",1556497400776142848,"@xlhome,
1. How could the bill has been running since July 16 while the new tool was installed July 17?
2. Why is it bonded by the Superuser package? even though subscribing to the family package"
/wal ada yg makai wifi xlhome kah? gangguang lah wdh bhn km? dom bjm,1556413403039936512,"/Wal, is there a wifi xlhome? wdh bhn bhn km? dom bjm"
xlhome gangguan ya ini🥲,1556239391731089408,xlhome disturbance yes🥲
XLHOME KAMPRET,1556086306635395074,Xlhome shucks
"@xlhomeid mas bro, tiket Z488-3ENK tolong di proses dong, Relokasi ga gratis ya, masa ngasih waktu kunjungan teknisi aja ga bisa, suruh nunggu teknisi seharian dirumah??? Payah xlhome pelayannya skrng ck",1555953322456399872,"@xlhomeid bro, Z488-3enk tickets please process, relocation is not free, when you just give a technician visit, you can't, tell the technician all day at home ??? Lousy xlhome the waiter is now"
"@Ilhamon26 @xlhomejogja @xlhomeid Halo Sobat XLHome, kami cek koneksi terputus. Silakan Unplug / Lepas -Pasang Kabel Patch Cord ke ONT (kabel yg berwarna hitam atau kuning dengan ujung berwarna biru). Jika masih bermasalah, hubungi kami, untuk pindah provider plat merah. Trims -Indekost",1555804943181029376,"@Iliamon26 @xlhomejogja @xlhomeid hello friend xlhome, we check the connection interrupted. Please unplug / remove -install the cord patch cable to the ont (black or yellow cable with a blue tip). If it's still problematic, contact us, to move the red plate provider. TRIMS -INDEPOST"
@banjarbase xlhome,1555772829320499200,@banjarbase xlhome
@banjarbase xlhome ?,1555769923648966656,@banjarbase xlhome?
@xlhomeid Xlhome,1555603424414052352,@xlhomeid xlhome
@pitaadyp @IndiHome Pake xlhome aja pit,1555574425738571777,@pitaadyp @indiHome just use xlhome pit
xlhome gangguan mulu heran,1555527713880154113,XLHOME DISTURBANCE WAHUE
"Awal 2020 saya sudah berlangganan XL, KOG dibilang baru 10 bulan. Itu data dari mana.TOLONG BILANG SAMA PIHAK CS untuk tidak telpon telpon.. Itu mengganggu privasi dan menyebalkan sekali 

@xlhomeid , @xlhomejogja , @XLHome https://t.co/JhDZ3jMxWX https://t.co/JVpwxOsAOK",1555506249063890945,"Early 2020 I subscribed to XL, KOG was said to have only been 10 months. Where is the data from where to tell the CS not to call the phone ... it disturbs privacy and is very annoying

@xlhomeid, @xlhomejogja, @xlhome https://t.co/jhdz3jmxwx https://t.co/jvpwxosaok"
"Nama dyah susilaningrum
Id XLHOME 38422841 sudah berlangganan lebih dari satu tahun. SAYA sdh berhenti berlangganan dg telpon ke Cs  29 JUNI 2022. Kenapa tagihan tetap berjalan dan Saya ditelpon sehari 20x. Ini Sangat mengganggu
@xlhomeid
@xlhomejogja 
@myxl_store 
@XLAxiata_Tbk",1555502534982512640,"Name Dyah Susilaningrum
ID XLHOME 38422841 has subscribed for more than one year. I have stopped subscribing by calling to CS 29 June 2022. Why did the bill still run and I was called a day 20x. This is very annoying
@xlhomeid
@xlhomejogja
@myxl_store
@Xlaxiata_tbk"
"@convomfs 274k, xlhome pling the best",1555411853974863872,"@Convomfs 274K, XLHOME PLING THE BEST"
@xlhomeid Xlhome,1555166917811269632,@xlhomeid xlhome
@xlhomeid Xlhome,1555166863201484801,@xlhomeid xlhome
@xlhomeid Xlhome,1555166814241337344,@xlhomeid xlhome
@xlhomefiberindo saya mau bayar xlhome kenapa tdk bisa ya,1554688433008025600,@xlhomefiberindo I want to pay xlhome why can't it
"Jaringan FO , tp tiap ada hujan lost connect… kan kampret ya #xlhome",1554606076774846464,"FO network, but every time there is a rain lost connect ... it's shuck #xlhome"
@whenyoulv @IndiHome @IndiHomeCare Pindah xlhome,1554452350290767872,@wheyoulv @IndiHome @IndiHomeCare Moving Xlhome
💚 ada yg pake stb xlhome dan pake netflix? Mau tanya” lewat dm🥲,1554367656886554624,"💚 Does anyone use STB XLHOME and use Netflix? Want to ask ""via DM🥲"
