tweet_conv_eng,eng
ada apa dengan XLhome dengan twitter? Kok lemot ya?,What's wrong with Xlhome with Twitter? Why is it slow?
Ada apa dengan xlhome fiber hari ini di makassar...,What's up with Xlhome Fiber today in Makassar ...
Ada apa dgn XLhome? Kmrn down skrg begitu lagi?,What's wrong with Xlhome? Do you down now?
ada apalagi ini XLhome pagi2 udh trouble.. Tolong lah pekerjaan saya banyakkkkk pleasee xl jangan seperti ini terus..Saya sudah mention beberapa kali terus saja terjadi,"Moreover, this is xlhome in the morning already troubled ... please help my job a lot"
"Ada cbn, Biznet, MMT, acenet, xlhome, oxygenid,stream(klo ga salah) tergantung skrang coverage ga areanya itu aja sih","There are CBN, Biznet, MMT, Acenet, Xlhome, Oxygenid, Stream (if I'm not mistaken) depending on the coverage, the area isn't it anyway"
"ada ga teman-teman yang pake XLhome? tolong dong infonya, jaringan kalian juga terganggu atau ga? kenapa jaringan di rumahku masih terganggu? ada yang bisa kasih solusi or something? thank u guys (before)","Are there friends who use xlhome? please the info, your network is also disturbed or not? Why is the network in my house still disturbed? can anyone give a solution or something? Thank U Guys (Before)"
"Ada gak sih yg pernah ngalamin layanan cs xlhome yg gak ngenakin? Sukur2 ada pegawai xlhome yg bisa bantu krn saya gak tau mesti ngadu ke mana lagi buat kendala koneksi xlhome. Udah lapor ke cs-nya, tp udah hari smp dg hari ini, cuma disuruh nunggu. Mgkn smp lebaran kuda.","Is there anyone who ever experienced the XLHOME CS service that isn't insecure? Sukur2 there are Xlhome employees who can help because I don't know where else to complain for the XLHOME connection constraints. Already reported to the CS, but it's already in middle school today, just told to wait. MGKN SMP Lebaran Horse."
"ada ini, di xlhome coid","there is this, on xlhome coid"
Ada kah yg di tangsel dan pake xlhome?,Is there a one in South Tangerang and using XLHOME?
"ada kasus lucu ini, di desa tmpt sy. di kota besar..hanya beda blok rumah, dah ga bs akses xlhome, indihome habis slotnya harus nambah jaringan baru, gmedia baru nyampe sebrang jalan, lainnya blm available. akhirnya pake antena","There is a funny case, in the village of TMPT Sy. In a big city ... only different blocks of houses, already not accessing xlhome, indihome runs out the slot must add new networks, the new GMEDIA arrives across the road, others have not been available. Finally use antenna"
ada kendala apa yaa kok sampai sekarang masih gak nyambung aja internet dari pagi sampai sore hari,"What are the obstacles, how come until now it still doesn't connect the internet from morning to evening"
"ada lach,, nie gue pasang xlhome dirumah","there is lach ,, nie I put xlhome at home"
"Ada mi Biznet, tapi masih di Tallo dan sekitarnya. Kalo banyak ji bde yang registrasi, bisa lebih luas jangkauan areanya. Xlhome juga jangkauan areanya masih terbatas.","There is Mi Biznet, but still in Tallo and its surroundings. If a lot of JI BDE registered, it could be broader. Xlhome is also the range of the area is still limited."
ada mmkai wifi xlhome? gangguan kh /wal ?,Is there a wifi xlhome? KH /WAL disorder?
ada org yg nawarin xlhome kerumah. gangerti lg mamaku lgsg terhasut dan lgsg mau gnti dr indihome,there are people who offer xlhome to the house. gangerti again my mom lgsg is incitable and lgsg want to gnti from indihome
ada oxygen sama xlhome. etapi rumah situ masuk jangkauan gak? wkwkwk,there is oxygen and xlhome. Do you enter the reach? Hahaha
Ada promo apa nh min utk pemasangan xlhome yg baru,There is a promo what nh min for the new xlhome installation
"ada solusi ngga kok di rumah signal xlhome nya ga rata ya, ada bagian yang Kuat dan ada yang lemah","there is a solution or not at home the XLHOME signal is not flat, there are strong parts and some are weak"
ada temen yang pengen pasang biznet tapi ditolak developer.,There are friends who want to install Biznet but are rejected by the developer.
"ada xlhome, ayo pindah ayoo wkwk","there is xlhome, let's move ayoo wkwk"
Ada yang make xlhome ga??,Is there anyone using xlhome ??
Ada yang pake XLhome buat internetnya?,Anyone use xlhome for the internet?
Ada yang pake XLHome daerah Cinere gak? Review dong...,Does anyone use XLHOME Cinere area or not? Review ...
Ada yang pake xlhome ga disini?,Does anyone use xlhome here?
Ada yang pake xlhome ga kok gangguan sih,"Someone uses xlhome, how come it's a disturbance"
ada yang pake XLHome ga sih?,Does anyone use XLHOME?
ada yang pake xlhome ga?,Does anyone use xlhome or not?
Ada yang pake xlhome kah? Bagus kah?,Anyone use xlhome? Good?
Ada yang pake xlhome? Error jg dirumahta? Terutama daerah pinggiran mks alias sudiang,Anyone use xlhome? Error is also at home? Especially the suburbs of MKS alias Sudiang
ada yang punya kontak orang yg kerja di xlhome kalsel kah ???AKU MAU PASANG DIKAPUASSSS...HELP ME,Anyone have contact with people who work at XLHOME South Kalimantan ???
"Ada yang punya kontak sales XLhome please DM, makasih...","Anyone have xlhome sales contact please dm, thanks ..."
Ada yang punya kontak teknisi xlhome? Dm please,Anyone have XLHOME technician contacts? DM please
Ada yank bisa kami bantu mengenai XLHome Fiber kak? ^AdI,Can we help you about xlhome fiber sis? ^Adi
Ada yg dirumah nya pake XLHome? stabil ga koneksi nya? berencana ganti provider...,Is there anyone at home using xlhome? is it stable? plan to replace the provider ...
"Ada yg kasih masukan diantara provider internet mana yang bagus : xlhome, mncplay, first media ? Indihome ngak usah ya.. sudah berlangganan, mau coba yg bisa menghargai pelanggan","Anyone give input among the internet provider which is good: xlhome, mncplay, first media? Indihome doesn't need to be ... already subscribed, want to try those who can respect customers"
"Ada yg make xlhome ga?? Bpk gue mau ganti dri indihome ke xlhome, xlhome bagus ga??","Is there anyone using xlhome ?? Bpk I want to change from Indihome to Xlhome, xlhome is good or not ??"
Ada yg pakai XLhome di daerah Kemang Pratama? Lagi tersendat2 mulu gak sih?,Anyone use xlhome in the Kemang Pratama area? Are you stagnant to?
Ada yg pake xlhome ga sih??,Does anyone use xlhome or not ??
ada yg pake xlhome ga?,Does anyone use xlhome or not?
Ada yg pake XlHome gaa??,Anyone use xlhome or not ??
Ada yg pake xlhome gak?,Does anyone use xlhome or not?
Ada yg pake xlhome?,Anyone use xlhome?
Ada yg pake xlhome? Oke tu?,Anyone use xlhome? Okay?
Ada yg pernah pake XLhome? Suka gangguan kah?,Has anyone ever used xlhome? Do you like interference?
ada yg pny no sales xlhome daerah kotagede dn sekitarny?,Is there anyone a no sales xlhome area of ​​Kotagede and surrounding it?
Ada yg tau knp xlhome lemot?,Does anyone know why XLHOME is slow?
"ADA YG WIFINYA XLHOME NGK SIHHHH, INI TMPTKU BUAT TWITTERAN DOANG LEMOT BGT ANJIR, MAU LIAT FOTO LODING LAMA BGT BETEKKK",There is a wifnya xlhome ngkhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
"ada, jaringan lancar tagihan ringan ayo pake xlhome aja","there is, the network is smooth, a light bill, let's just use xlhome"
Ada. . Dia udh pake fiber pulak. Tp hrs dicek wilayahnya udh kena xlhome belum.,"There is. . He has used fiber pulak. But I have to be checked by the area, it has been hit by xlhome yet."
ada. xlhome apa ya. emang masih baru kok itu,there is. xlhome what? it's still new
"Ada...Krn jaringan xlhome nya blom masuk ke komplek, cepetan masuk doonk","There is ... because the xlhome network hasn't entered into the complex, hurry up and enter"
ADAAA GUE PAKE XLHOME,There is me using xlhome
Adakah pengguna yg merasakan lemotnya internet beberapa hari ini?? Pingnya naik turun &amp; selalu diatas ms,Are there users who feel the slowness of the internet for a few days ?? Ping up and down & amp; Always above MS
adakah pud xlhome disini,Is there a pud xlhome here
Adakah yang bisa kami bantu mengenai XLHome Fiber kak? ^AdI,Can we help you about xlhome fiber sis? ^Adi
Adakah yang bisa kami bantu mengenai XLHome? ^AdI,Can we help you about Xlhome? ^Adi
Adakah yg pake XLhome? Recommendji kah?MKS,Does anyone use xlhome? Recommendji? Mks
Adalah nywa bisi duit,Is Nywa Bisi Money
Adapa si dengan xlhome dan twitter hah???,What's with Xlhome and Twitter huh ???
"Admin , kok pengguna XLhome gabisa akses twitter?","Admin, how come Xlhome users can't access Twitter?"
Admin Cibe minta resign setelah baca ini,Admin Cibe asked to resign after reading this
admin mau nanya dong kok netflix di xlhome saya gini ya,"Admin wants to ask, why is Netflix on my xlhome like this"
admin saya sdh dapat tagihan xlhome via email tapi pas mau bayar muncul tagihan belum tersedia.. mohon info nya admin,admin I have got a xlhome bill via email but when I want to pay the bill is not available ... please info admin
admin wilayah handil bhakti xlhome nya gangguan mohon diperbaiki di router nya LOS menyala merah,"Admin of the Handil Bhakti Xlhome area, please repair it on the router loses red"
admin xlhome wilayah handil bhakti kalsel apa memang ada kerusakan... mulai tadi pagi LOS kedip2 warna merah komplek sama... mohon segera di tangani,admin xlhome area of ​​Handil Bhakti South Kalimantan is there any damage ... starting this morning Los Kedek2 red complex with ... please handle it immediately
"admin yth, min ini saya udah komplain via sama email xlhome ko komplainan saya soal gabisa make yg kuota gb xl satu viber masih belom ada tanggapan yah? Harus nunggu sampe kapan nih min?","Admin, bro, I have complained via the same xlhome email, how come my complement is about it can't make the GB xl quota one viber still hasn't any responses? When to wait until when is this min?"
"Admin, klo mau ngadu gangguan sinyal di XLhome kemana ya.?","Admin, if you want to complain about signal disorders in Xlhome where?"
"Admin, pagi ini XLHome sangat lambat, untuk di daerah Cibinong dengan id pelanggan , mohon cek DM, thanks","Admin, this morning Xlhome is very slow, for the Cibinong area with a customer ID, please check DM, thanks"
"admin, saya mau pasang xlhome..tp area blm tercover. Gimana dong","Admin, I want to install xlhome..tp the area has not been covered. How about it"
"admin, siang ini internet XLHome fiber saya mati. Lokasi Taman Permata Cibinong. Tolong cek DM untuk detailnya, thanks","Admin, this afternoon my Xlhome Fiber internet died. Cibinong Permata Park Location. Please check DM for the details, thanks"
"aduhh jangan kesitu, ke xlhome aja yang benerrr","Ouch, don't be there, just Xlhome is right"
"Aduuduu pii, ganti xlhome rekomendasi aku, indihome terlalu posesif emang","Aduuduu pii, replace my xlhome recommendation, indihome is too possessive"
Aduuuhhh.. semoga sudah bisa terpasang xlhome di rumahnya wkwkwk,Ouch ... hopefully Xlhome can be installed at his house wkwkwk
aera pringles/aera xlhome,aera pringles/aera xlhome
aera xlhome,aera xlhome
Aespa xlhome,Aespa xlhome
"agar tidak disalah gunakan orang lain bagaimana ? saya sy memberi Subsiber ID saja, masih ditanya nama , alamat , no HP . gimana orang yg diluar XL / orang lain mau menyalah gunakan ID xlhome saya ?","So as not to be misused by other people? I only give subsiber ID, still asked the name, address, cellphone number. How do people outside XL / other people want to misuse my XLHOME ID?"
"Aget jumah cg ada cbn, myrepublic, firstmedia, transvision, xlhome..tinggal alih cen ne promo","Agets for CG there are CBN, MyRepublic, FirstMedia, Transvision, Xlhome ... I will live in Cen Ne Promo"
"Ah gw di bekasi, tapi belum ke cover","Ah I'm in Bekasi, but not yet to the cover"
Ah para bgt xlhome anjng,Ah the bgt xlhome anjng
Ah sial gua mau nonton home tournament eh ternyata kuota sekarat mau beli kuota lagi tapi minggu ini xlhome bakal dateng welp.,Ah unlucky I want to watch a home tournament eh it turns out that the dying quota wants to buy another quota but this week Xlhome will come welp.
ahahahaha biasak banget xlhome,ahahahaha really usually xlhome
"AHAHAHAHHA my republic lah, kaloga xlhome, kemudian biznet jelass","Ahahahahha my republic, kaloga xlhome, then biznet clear"
Ahh nih xlhome kalo lagi musim hujan jelek banget sinyalnyaaa,"Ahh, xlhome if it's the rainy season it's really bad"
