,tweet_clean,klasifikasi
34,"Sis, I'm asking for the xlhome fiber android tv box package, the property is borrowed, subscribed",Netral
35,xlhome k already the tv uses a package upgrade k data quota if at home if you don't use a data quota package k,Netral
36,want to install bznt po xlhome rung reach e net,Netral
37,xlhome km hdjdkskauwhqjakhdwk,Netral
38,pke wifi xlhome kak,Netral
39,"DM reply doesn't work, the core solution is using netflix, ax regrets subscribing to xlhome",Negatif
40,sukur biznet firstmedia xlhome cheap price sip connection,Positif
41,"I'm really tired of indihome here, slow to change xlhome, okay?",Negatif
42,"xl home, it's really old when it's late, the curfew is too much",Positif
43,xlhome complaint is complicated compared to indihome,Negatif
44,oh my god xlhome is really normal when you don't have a network,Positif
45,internet turns off indihome restart xlhome modem,Netral
46,"install xl home, the quality is like this, it's only a month, the internet is slow",Negatif
47,i feel you bin tp gue xlhome,Netral
48,"If the area is like that, the price is bubble, sometimes I think about moving the area, but where is the area already working with fiber optics, like CBN xlhome, Indihome is already ambarawa, isn't it good, isn't it klaten",Positif
49,"It's really strange, disappointed, wise to keep upgrading packages, don't stop, register using a real sales promise package that matches xlhome",Positif
50,hello min xlhome this is annoying please check,Negatif
51,hi jeje putar xlhome hubung no xl free no non-xl tarif normal whatsapp email xlhomecs co id fb xl home twitter homeid thanks ersa,Positif
52,this race is like my xlhome but telkomsel card,Netral
53,"I really like it that way, xlhome too, sometimes plugs it in, I lps psg",Positif
54,"if you cover biznet xl home, just use indihome",Netral
55,city ​​area better for biznet citranet xlhome Bantul area plosok cm indihome,Positif
56,please install xlhome bjb where do you contact yo wal,Netral
57,"xlhome it's really normal at night, oh my god, please",Positif
58,"bro, who tweeted yesterday when I posted on Indihome, I got news that the database spread, the end said I'm using xlhome now aqua gallon, it's not healthy, I'm using Lemineral",Negatif
59,bro dm is under maintenance now the internet doesn't turn on,Netral
60,"tonight the internet is disconnected, xl home jogja subs id night status no internet try restarting please be good",Positif
61,can relapse xlhome dick watch out for the afternoon don't look for it because of,Netral
62,xlhome huoo uooo ooouuobsjskabiaakkaka,Netral
63,kendala xlhome no connection,Netral
64,it's really normal xl home when the clock is slow,Negatif
65,"how about the pppoe password, just waiting for it to go back and forth calling the call center, waiting for the call until now it doesn't call xlhome xlhomepayah",Negatif
66,"the area of ​​janti jogja doesn't access twitter, youtube tv doesn't play videos",Netral
67,"xlhome it's annoying waiting for hours not normal, turns complaining, haven't been answered, it's normal, the connection is already done",Negatif
68,"disturb the area, it's a pity",Negatif
69,please help I have paid for xl home the wifi status is not connected to the internet,Netral
70,wifi xlhome kek tai already if it's a pig's night,Netral
71,sleeping with the fiber optic cable xl home om,Netral
72,"subscribe to xlhome, the cheaper one, the faster",Netral
73,"Please check your bot's dm, I don't have your email registered, your eyeballs exploded, I emailed xlhome using a ghost email, I checked my dm, I'm agile, my work is a mess because I can't report loss nets",Positif
74,oh my god xlhome biznet when did you enter my complex,Negatif
75,xlhome jg gin sm aja,Netral
76,"this complex can already use my xlhome, but can it be indihom",Negatif
77,xlhome mbps how much do you get to weigh the pensi from indigo,Positif
78,better xlhome stable net play netflix live HD,Positif
79,yeee you know watching it using xlhome,Netral
80,"Makassar, it's like that, when you stop, and Dada xl home is here, change everything",Netral
81,please xlhome,Netral
82,Brp xlhome bro,Netral
83,"same if i was originally from firstmedia, it was very annoying, male lot broke up, moved xlhome, it's more stable and cheaper",Negatif
84,"where is it if you haven't been fined for a year, but it's better to use xlhome mbps using cheap instead of indihome rarely bothering a lot",Positif
85,"xlhome gt bro, you need a different tool, bro, it's not yet a year, you have to pay a jet fine, you have to pay it off too",Positif
86,biznet xlhome,Netral
87,"xlhome is really bad, kaahhh",Negatif
88,"xlhome is really funny, the promotion gives me a brochure on my house, but when I install it, it doesn't cover it, then why are you promoting my house, anying, the pole is near, but you don't give a solution, how to make the customer keep it funny",Positif
89,"use xlhome in the bjm area, it's safe, don't disturb it",Positif
90,how do i use xlhome,Netral
91,"plan to install wifi xl home, pull out the fiber substation cable, the house will be subject to a dance fee, the technician checks the location for the cable dance fee",Negatif
92,xl xlhome dilapidated,Netral
93,xlhome download upload it if indihome download mbps upload it mbps don't know yes xl because,Netral
94,kam main game ku xlhome ka maka indi ngedown rnck bekajut,Negatif
95,"it's rotten, indihome biznet xlhome, hurry up and cover it",Netral
96,"good afternoon, min, change the wifi xlhome at home, cover it in a different house, what's the solution?",Positif
97,xlhome is so annoying,Negatif
98,"It's getting more and more disturbing, pang nh xlhome because of the tatak cable org",Positif
99,"I have to dm so I can use xlhome, I don't know, there's a natural problem that just tells me to pay but I don't get the benefit to pay hehehehe",Positif
100,"xl home is cheap, it's good, it has a red watch, good Biznet nets, expensive to hang",Positif
101,tabe Saranta bde better Biznet xlhome,Positif
102,"xlhome doesn't work if there's no error, that's bullshit",Netral
103,"Anjiiir, xlhome doesn't get along very well if it's a war",Positif
104,akun valo ku kena banned karna xlhome,Netral
105,email cs july cs bill service xl home is bad,Negatif
106,bill road july install tool bill write superuser package subscribe family package,Netral
107,"the guardian who uses the wifi xl home, does it interfere with wdh material km dom bjm",Netral
108,xlhome gangu ya,Netral
109,xlhome kampret,Netral
110,"bro, the z-enk ticket, please help the relocation process, it's not free, just give a visit to the technician, don't tell me to wait for the technician at home, it sucks, xlhome is serving now, ck",Negatif
111,"hello, friend, xlhome, check the connection is broken, please unplug and unplug the patch cord ont, the cable that is black yellow, the blue end, the problem is connecting to the red plate provider, thanks for boarding",Negatif
112,use xlhome aja pit,Netral
113,xlhome disturbs you and is surprised,Positif
114,"subscribe to xl, why do you say which data, please tell cs, telephone calls disturb privacy, annoyed",Negatif
115,name dyah susilaningrum id xlhome subscriber has stopped subscribing by phone cs june collects calls for day x disturbing,Negatif
116,k xlhome pling the best,Positif
117,pay xlhome tdk of,Netral
118,jaring fo tp hujan lost connect kampret ya xlhome,Netral
119,how to move xl home,Netral
120,yg pake stb xl home paket netflix dm,Netral
121,waiting for those who fix the internet xlhome hours that promise slots or not,Netral
122,xlhome cs reads a lot dm replies in progress until doomsday,Netral
123,sdh xlhome,Netral
124,"xlhome service hook via dm, thanks ersa",Positif
125,xlhome hours gin disturb ya Allah,Netral
126,"xlhome interrupts when dota is lucky, tethering is lucky to win",Positif
127,if you use xlhome and myrepublic some of the blocks are still open,Netral
128,i still can play apex sih pake xlhome idk with other providers,Negatif
129,"I don't know if I use xlhome, dnscrypt is already running",Netral
130,don't take care,Netral
131,"Maya xl home, you don't really help a lot",Positif
132,"Sis, pay for xlhome via virtual Mandiri, okay?",Positif
133,xlhome goated i changed from firstmed this year and sheesh,Netral
134,xlhome jam gin napa rto muluu si,Netral
135,name a more iconic duo than xlhome and am connection problem,Positif
136,nontom mukbang at gin time to look for this matter at gin time bothering me already,Netral
137,xlhome plisss compeee,Netral
138,"hi edo, sorry for experiencing problems with the xlhome service hook via dm, thanks ersa",Negatif
139,use xlhome to run the net,Netral
140,xlhome if you don't disturb at night it's like a seizure,Netral
141,"xl home, sorry to you, you are such a dog",Negatif
142,hello good morning internet xlhome died yesterday afternoon using the internet,Positif
143,hello good afternoon internet xlhome error internet clock is dead waiting for cs phone hours to be busy,Positif
144,"Complaints the connection is stable, the connection is disconnected",Netral
145,"weekend is safe, xlhome users, the net rto is slow, the report is super complicated, puter puter bot, hahaha, subscribe to wifi using data quota",Positif
146,xlhome control,Netral
147,askrl guys good wifi network fm xlhome huh,Positif
148,xlhome ih cb immediately udh msk area lu blm na,Netral
149,xl home internet murah wifi wifi ruang usaha,Netral
150,still lose to xlhome,Netral
151,Just switched to indihome xlhome,Netral
152,xlhome nets are really bad at the end,Negatif
153,"using xlhome imagine mbps cm rb until fm indigo burns hair, subscribe to run",Netral
154,july promo xlhome promoxlhome pricexlhome xlhomejakarta xlhometangerang xlhomedepok xlhomebekasi xlhomemakassar xlhomebandung xlhomebackboardxlhomebanjarmasin xlhomebanjarbaru xlhomeyogyakarta xlhomecirebon xlhomepalangkaraya xlhomebali,Netral
155,xl home find bngtt ejekekkskskakkaka,Netral
156,this wifi xlhome is a great pork cake anjjj lemottt,Positif
157,xlhome k round sorang nder,Negatif
158,my xlhome is broken,Negatif
159,bot what are you talking about bot by phone cs xlhome it's not right waiting for the shift doesn't pay it's decided when you pay the hose is disconnected because the deer broke up with the fiber disconnected the xlhome subscription,Negatif
160,"discuss xlhome using Telkomsel data, xlhome, house, the clock goes out, good reason xlhome is disappointing",Positif
161,"I've made xlhome down, it's a very stupid net",Negatif
162,"yesterday the internet lights were off, now the los lights are on poorly xlhome promo gedein",Negatif
163,sorry xlhome lights lose light,Negatif
164,new xl home promo package xlhome promoxlhome pricesxlhome xlhomejakarta xlhometangerang xlhomedepok xlhomebekasi xlhomemakassar xlhomebandung xlhomebalikpapan xlhomebanjarmasin xlhomebanjarbaru xlhomeyogyakarta xlhomecirebon xlhomepalangkaraya xlhomebali,Positif
165,pain xlhome,Netral
166,"hi sis, tell me about nature, xxlhome sis",Netral
167,not here xlhome,Netral
168,main game tv mu android box xl home xlhome xlhometangerang xlhomebekasi xlhomedepok xlhomebogor xlhomejakarta xlhomemakassar xlhomesemarang xlhomebanjarbaru xlhomebalikpapan xlhomebanjarmasin xlhomebandung xlhomecirebon xlhomesemarang xlhomebali,Negatif
169,wifi xl home fast internet xlhome firstmedia myrepublic indihome xlhometangerang xlhomejakarta xlhomedepok xlhomebekasi xlhomebogor xlhomebalikpapan xlhomebanjarbaru xlhomesemarang xlhomebandung xlhomeyogyakarta Hargaxlhome promoxlhome wifixlhome,Positif
170,"min xlhome, white wood plaster path, pulogadung, east jakarta or not, if it's a package, thanks",Positif
171,xlhome is so emotional,Netral
172,"xlhome yesterday, you interrupted the connection yesterday, you know, the connection is really bad",Negatif
173,"Yes, use xlhome for a slow week, it doesn't matter",Negatif
174,xl home mati,Netral
175,"How's the marathon, min, at noon it's dead xlhome at home, let's respond, min",Negatif
176,mo marah bgt xlhome error,Netral
177,"It's easy to register, it's okay, I've been using it for years until I'm so angry, the xlhome g net is already fast too",Positif
178,"hi sis niaga customer service xlhome, brother, call xl, thanks m",Positif
179,"ml guys, playing mole, the wifi is stable indihome xlhome, so confused about installing the covered wifi",Negatif
180,hahahahahahahaha already using xl home,Netral
181,Indomaret doesn't make it clear that the pig has already paid for xl home but got suspended,Positif
182,xl home internet fiber sewa modem jasa internet yogyakarta,Netral
183,the news on august appears a notification that xlhome,Netral
184,"wifi tethering, indihome, xlhome, etc., if tethering, just look at the tethering settings, if you use a laptop, if you already use the default gateway, then use an xlhome, but the subscription is different, see",Netral
185,"xl home rb package now the net is ok, it doesn't bother you",Positif
186,man i tired my isp xlhome in indonesia they modem huawei have error only way and plug and my modem suck,Negatif
187,xlhome down yesterday night july am care only service bot deserves a down rating,Negatif
188,"xlhome overcomes lazy nights reporting cs, the end tells me to restart the router, promise not to restart",Negatif
189,bot xlhome,Netral
190,"when cs xlhome is silent, thousands of languages ​​try to tweet, subscribe to xlhome, chase back",Netral
191,"yes, when xlhome is silent, thousands of languages ​​try to tweet, how about subscribing to xlhome, quickly reply to the tweet",Positif
192,"If you offer, you quickly reply when you fight hahaha, how can you not reply xlhome",Positif
193,south sulawesi makassar xlhome down,Negatif
194,gak ip xlhome down,Negatif
195,"evening min, tny donk u wil the chili hut in tangsel has been covered xlhome thank you",Netral
196,"xlhome, why is it late at night like geheehjebehebbeeb",Negatif
197,"June survey, check the location of the signal, for additional costs, technicians x width can really need to work hard xlhome",Negatif
198,"admin has charged xlhome via email, when you pay, a bill appears ready, please let me know admin",Positif
199,it's normal xlhome error at night,Positif
200,"xl is the problem, xl home doesn't change xl packet data and the signal is lost",Netral
201,xlhome's dick,Netral
202,better indihome xlhome ok,Positif
203,"the internet is not used, the tool has already taken the sales, the bill appears, make xlhome, it's a trap, no promises to write if you stop the fine, millions of people don't install it, but persuade the sales to install it",Positif
204,"hello, pay the xlhome bill, don't bother how about it, min",Netral
205,xlhome is so tired,Negatif
206,tim dang mending xlhome aj,Netral
207,"hi daeng, information on the xlhome fiber service hook, please via dm, forget to follow the account, thanks adi",Positif
208,"Min, how about my xlhome, a red flashing light appears, the internet is not being used",Positif
209,xlhome is really bad at gin hours,Negatif
210,"Sis, is the wifi xlhome error bad, is the sulawesi network bad?",Negatif
211,"kaga xlhome please fix your net, I used a lot of quota last night",Netral
212,xlhome mbps bulan k,Netral
213,"indihome uses pay, answer, I'm confused, how do you pay for indihome, the postpaid indihome payment system, let's see the post indihometv postpaid prepaid Indosat telkom xlhome xl im",Negatif
214,yesterday the internet wifi xlhome died id jl pandu no sumerta denpasar bal who contacted help technician,Netral
215,ganti wifi xlhome lot,Netral
216,nice info hp price is getting wow info xl home or not,Positif
217,"a duet, xlhome and it makes me emotional",Netral
218,stb xlhome blm dukung netflix,Netral
219,I swear xlhome invites gelud really bad,Negatif
220,it's better if wico waits for a good xlhome,Positif
221,xlhome is restless,Netral
222,xlhome already,Netral
223,"Indihome stop pen, which is getting less and less pocket-friendly. Do you recommend using one of the xlhome iconnect by pln?",Negatif
224,"gin cake, you have to subscribe to indihome, I'm using xlhome",Netral
225,"information on the service hook for xlhome fiber over dm, thanks a lot",Positif
226,"there is no internet net, the neighbor's house is xlhome",Netral
227,"So I remember Crystal Rumah literally provider indihome myrep Biznet First Media Xlhome I just had to choose yesterday, I checked the shophouses, already Biznet, but business is the bomb",Positif
228,very normal xlhome clock gin,Positif
229,really cool xlhome wifi turns off at this hour,Positif
230,bjm cousin using xlhome speeding,Netral
231,"I'm jealous that I moved xl home, the area of ​​the house doesn't support, I can't stand using Indihom, I'm complaining",Netral
232,"minus the xl home signal is very slow, like a hungry chicken",Negatif
233,wal xlhome sultan adam bother kh,Netral
234,xlhome was bad this morning,Negatif
235,very xlhome,Positif
236,thank you xlhome,Netral
237,xlhome is so bad it's so annoying,Negatif
238,nih xlhome,Netral
239,xlhome at night it really bothers me,Positif
240,"yes, billing logic using the internet, paying for the accumulated front bill because you pay for the xlhome service period",Netral
241,"the net drops until it's really cool, really xlhome",Positif
242,boss,Netral
243,"noon, sorry for asking if the notification disturbs the local time, if you use xlhome, it's disturbing",Negatif
244,"the one you want to install xlhome, better think again, the wifi is really dead, I'm tired of it",Negatif
245,the internet is dead at this palm hut xlhome is only good,Positif
246,It's like you're still talking about the xlhome fm merger,Netral
247,xlhome already,Netral
248,"rain ballassi, please xl home cooperation, interfere with uploading files",Netral
249,nice xlhome,Positif
250,"spg xl home fiber joint car data using a dkjb-ave cloth, complaining about the moon, telling me to be patient, the month is overdue",Netral
251,lol really xlhome,Positif
252,move xlhome like,Netral
253,xlhome k month,Netral
254,"xlhome disturbs me, I'll report this",Netral
255,xlhome has been busy in the evening,Positif
256,xlhome lalot bgt siee,Netral
257,Why did you mess up xlhome?,Negatif
258,oh god heh xlhome vs tcell why is this still wa?,Netral
259,"problem solved by replacing the xl home technician's modem, the intention is annulled, asking for the internet connection to break, hopefully it won't bother you, don't wait, please serve xlhome",Netral
260,"gpp xlhome, the area was used for maintenance on Friday night after maintenance, wow, be careful not to report consumer protection",Netral
261,xlhome wow tumben error clock gin,Positif
262,"using xlhome, the signal is pretty stable, using x doesn't bother me",Positif
263,"For the Department of Foreign Affairs Comp area, Adam Malik, Ciledug, Tangerang City, has Xlhome been signed yet?",Negatif
264,"bpp home internet provider, just install home wifi, not xlhome indihome",Netral
265,iconnet xlhome,Netral
266,"hello min xl home found my cellphone, tv connect please help me",Netral
267,xlhome biznet orbit,Netral
268,knpa xlhome pakbal skli,Netral
269,"After the family is in love, watch home videos, variations of interesting content, suitable for family members, let's subscribe to platinum videos, watch satisfied xl home, all are videos",Positif
270,xlhome yo podowae,Netral
271,It's xlhome my friend,Netral
272,"xlhome, if the clock is normal, there's an error disconnecting like that",Positif
273,xl home is really bad when it's time and the signal is not,Negatif
274,"hi if the branch office is ready, play xlhome, contact no xl free no non-xl normal rate email xlhomecs co id fb xl home twitter homeid wa cont",Positif
275,xlhome do you like the signal?,Netral
276,hi kak maya saran hubung digital care xlhome email xlhomecs co id fb xlhomeid twitter homeid telp no xl no non-xl m,Netral
277,why is this xlhome?,Netral
278,"min ping desktop ap xlhome the contents of rto gin, the internet is really bad, it's a good idea, don't restart the results",Positif
279,"tomorrow I'll be streaming, just buy a quota, just keep it up xlhome",Netral
280,"thank you xlhome bye bye care just change the address, it's trivial with members",Netral
281,xlhome nder,Netral
282,"I've given an additional charge for the consent notification, subscribe to disturb xlhome at wib",Netral
283,It's clear that dm cs xlhome has disturbed the fiber infrastructure of the house area,Positif
284,"hi algorithm, sorry for the inconvenience, information on the service hook for xl home fiber, please via dm, forgot to follow the account, thanks adi",Negatif
285,"it's really bad, bro, boong, I hope you don't get tricked",Negatif
286,"Wow, stupid xlhome dc dog, tai, work people are annoying when you want to suck, jingkontot, dick dog fucks xlhome tai guys, xltot inet recommendation, good house",Negatif
287,"Wow, stupid xlhome dc dog, but people at work are annoying when you want to stop",Negatif
288,got pranked xlhome I subscribed to mbps,Netral
289,"hi condro, thanks for the xl home fiber service, feel free to contact, thanks adi",Positif
290,"does it make sense, the name of the additional charge is canceled, the additional must not increase the subscription price for the king of the object of suffering xlhome",Netral
291,xlhome disappointed,Negatif
292,"subscribe to xlhome, the free year video won't be long until August",Positif
293,"I'm so tired of xlhome from now on, I'm still annoying, I'm sorry, I'm surprised",Negatif
294,halo min wifi xlhome ya netflix and chill nih min,Netral
295,natural sabotage is common sense field technician myrep isp fiberstar infrastructure fiberstar xlhome cbn matrixsbiznet republic sanctions for rogue field,Negatif
296,indie home xp home you are here,Netral
297,why is this xlhome sales responding surprised,Positif
298,xl axiata apply solutions for airpon wide netting ftth bogor airpon ftth xlaxiata xlhome fiber,Negatif
299,xlhome feat rain,Netral
300,perdana xl gb flex price for school children bonus gb xlaxiata perdanaxl perdanaxlkuota myxl xlhome kartuxl xlkuota,Netral
301,yaa xlhome annoying net,Negatif
302,"hi april regarding net service, be sure to always take care, play the xlhome fiber service please via dm, forget to follow the account, thanks adi",Positif
303,believe it will rain xl home slow weather forecast bmkg,Negatif
304,annoying xlhome connection,Negatif
305,"it's better to use cheap first media xl home, forget indihome",Positif
306,the commitment toward our work reflects through the outcome be a part of xl life with ganga platino at kharadi for bookings contact us on gangaplatino xlhome balcony goelgangadevelopments realestateindia puneproperties kharadi pune,Netral
307,"yes, the picture is really good, if you use the xlhome net, try using telkomsel cellular data, it's safe, after yesterday's maintenance, it's gin",Positif
308,xl home is it a network problem or not,Netral
309,"the xl home package is safe, doesn't pay, doesn't arrive",Positif
310,xl home why is the dog so bad,Negatif
311,xl home tangsel down this morning,Negatif
312,"Min, I invoiced xlhome in my email yesterday, I paid for Indomaret, the transaction code for the internet meeting, the house is dead, what's the solution, how do I pay and I haven't turned it off",Negatif
313,"help complain about the internet xlhome gun house at dawn, please respond to the solution",Netral
314,paket xl home,Netral
315,"Sorry, min, I've moved xlhome, the review is right, it's slow, it's better if you don't lose your subscription, thx",Negatif
316,use xlhome,Netral
317,himung iq xlhome ganggu,Netral
318,xlhome kntl,Netral
319,"hi indigo guy, assisted by adi fiber home xl service",Netral
320,askrl plus minus pake xlhome kak,Negatif
321,"xl home, really, I'm still responding to the car",Positif
322,id oiya I tag xl german,Netral
323,"This is xlhome, what's wrong with you last night?",Negatif
324,twitter id,Netral
325,halo,Netral
326,xl home curfew disruption boh hadeh work,Netral
327,I use xlhome,Netral
328,"hello, complaint, does the xlhome hook interfere with the xlhome id?",Negatif
329,the clock xlhome error is really bad,Negatif
330,cape bgt error lg aja xlhome,Netral
331,tumben ya xlhome the date hasn't been issued yet for the month's bill,Netral
332,xlhome is rich cheap nder,Positif
333,"if the provider from dl sympathizes with the net area, then the loyalty makes a promo but the one who manages the quota uses it by u but at home uses xlhome so that the provider is different if it interferes",Netral
334,"I use a stable xlhome flat when I have trouble, I'll let you know about the xlhome cs, but it's really rare to have trouble if the provider depends on your area, the provider's network isn't good",Positif
335,"dih xlhome, why are you disconnected, it's good to watch movies again",Positif
336,gara gara notifu snoretoast selamat yaa golong senyum tunggu by my internet home realtime protection windows not detect notifu snoretoast windows pcreset notifu snoretoast realtime protection,Netral
337,xlhome maintenance saat,Netral
338,ga waras xlhome,Netral
339,is xlhome ngatau bsk deadline of,Netral
340,xlhome lg down ya wifi nge lag,Negatif
341,"xlhome, I'll throw you down",Negatif
342,"how does xlhome make a connection interruption report, but the technician doesn't chat, cs consumers protect the consumer protection law, the ticket number is the ticket, the report number is the report number, kke-y",Netral
343,xlhome internet ko mati min,Netral
344,xlhome is slow to respond,Negatif
345,"xl home establish a video collaboration with Tokopedia, visit",Netral
346,wal xlhome is it bothering you?,Netral
347,wal wifi xl home does it interfere?,Netral
348,min xlhome depok rto nich morning,Netral
349,wifi xlhome simcard sympathy so if it disturbs backup,Netral
350,"xl home ijo continues but it's yellow and red, I don't know why",Netral
351,"Don't be ashamed, the employees are Giunarto HR, Pure Business, I'm concerned, I'm an xlhome employee, I'm stupid, it's intentional, the money is pure Xlhome, Solusindonusantara, Giunarto, Bank Indonesia, Indonesian police",Negatif
352,let's hold hands xlhome friend,Netral
353,it's not true that xlhome is close to paying for trouble,Negatif
354,bangke xlhome the net is lost doggg,Netral
355,just change far xlhome,Positif
356,mah xl home has to pay tax for gin because the house uses xl home,Netral
357,"watching spy x family with family members is fun, subscribe to the platinum xl home video, let's subscribe to all the videos",Positif
358,kelayan already entered xl home,Netral
359,"Thank you for filling out the form, brother's house in Bandung, if the house is already xlhome",Netral
360,"hi rosid, thank you for playing xlhome fiber, feel free to contact me, thanks adi",Positif
361,xlhome sy masalah please help care,Netral
362,he created xlhome in he created ahuam,Netral
363,hmmm yes the name of the sales is chasing the target hahaha I'm tired of this php xlhome doesn't enter my home area wkwkwk,Negatif
364,xlhome mbps house indihome mbps house,Netral
365,compensation loss sm xlhome ah rb-an don't think so aaa aaa aaa smp aaa aaa aaa i hold it aaa aaa aaa avoid real aa aaa aaa who remembers tip-ex or not,Positif
366,"those who are satisfied with serving xl home are not grateful because they have helped work on a day that needs an internet connection, entertained xlhome, very disappointed",Negatif
367,"doesn't it happen that the xlhome cs service doesn't make it easy for the xlhome staff to help because they don't know how to complain about the xlhome connection problem, i've reported the cs, but i've been in smp and told to wait maybe until idul Fitri",Positif
368,those who use xlhome wifi don't ask dunggg,Netral
369,"I understand, I also use xlhome",Netral
370,xl home is getting better,Positif
371,if xlhome is available in Makassar area,Positif
372,"There's a lot of competition in the colors of Ramadhan xlhome, ciledug Indonesia",Netral
373,the effect of fasting net xl home goes limp,Negatif
374,xlhome is not very good,Negatif
375,Can you install things that can contact xl home?,Netral
376,"try to install xl home, surveyed, there is no fishing line, it doesn't work",Netral
377,biznet myrep xlhome,Netral
378,nie yg make xlhome wifi error ga sih,Netral
379,"bill for xlhome, don't plug it in",Netral
380,why is the xl home bill?,Netral
381,your balcony can become a hostess to all your dream events when you step into x-ceptiona-l luxuriousness at gangaplatino xlhome balcony penthouse gardenapartment ranalia celebritywedding momentmarketing goelgangadevelopments realestateindia puneproperties kharadi,Netral
382,"Billed xlhome for april or not, re-inder the notification meaning free the april",Positif
383,xlhome is not much,Negatif
384,no energy to complain xlhome hhh,Netral
385,min xlhome banjarmasin is it annoying,Negatif
386,xlhome aja kak,Netral
387,it's a shame that there is no xl home,Netral
388,good afternoon care internet xlhome makassar problem waiting for technician to come loss compensation solution,Positif
389,xlhome kd what price,Netral
390,change xlhome wae smooth troosss,Positif
391,"Min, what is the area of ​​my residence, how is the xlhome net cool, bro?",Positif
392,xlhome bogor city rotten net,Netral
393,"hello internet xlhome, how is the connection, how is it?",Netral
394,it's fun to watch the net just disappear xlhome,Positif
395,"tai xlhome nets are gone, max direct dnf",Positif
396,I swear the wifi has no internet asu makes me so annoyed xlhome,Negatif
397,Do not admin xlhome,Netral
398,"Yes, xlhome is the name, it's a city, so try to check the coverage area, it doesn't reach xlhome",Netral
399,allo xlhome,Netral
400,xlhome of them,Netral
401,now xlhome if you are late paying you will be suspended huh,Negatif
402,tf xlhome,Netral
403,so change xlhome,Netral
404,"I miss my xlhome, it's rarely a problem",Positif
405,aju sadar xlhome,Netral
406,tabe someone billed xlhome,Netral
407,"xl home only the ones that block it seems like using opera, it's through the vpn already includes a sophisticated browser vpn",Positif
408,hi dwi is there help xlhome fiber adi,Netral
409,id pants no reply,Netral
410,"Ma'am, wrong address, correct ID",Negatif
411,hello waiting for response,Netral
412,haloo xl home masalah connect,Netral
413,wifi lg down ya xlhome lumayan loading pict,Negatif
414,I watch it using xlhome,Netral
415,"hello min, the xlhome wifi network is disturbing, yes, the net home wifi is trying to refresh the lan lights are blinking, please help check, min, thanks",Negatif
416,xlhome kontol,Netral
417,kalo xlhome fiber mending xlhome oxygen,Netral
418,tcell xlhome already,Netral
419,xlhome pee,Netral
420,very quick to take care of xlhome,Positif
421,"I know that this morning when I got an email from xlhome, I billed buldep, if you think about it, the impact has gone up",Netral
422,"najong, the CEO of xlhome, just married the CEO of Indihome, the child became a lot of slow lorises",Negatif
423,alah loyal Biznet myrep xlhome come in for you,Positif
424,"xlhome is really annoying, I swear I regret changing subscribers",Negatif
425,"xl home, just ask for a wide range",Negatif
426,xlhome fiber,Netral
427,wal please choose xlhome fiber icon,Netral
428,iconnect xlhome,Netral
429,"table guys, you use xl home, the btp area is good, ji ha ji, it's a problem",Positif
430,no cover wkwkwk uda change with xlhome,Netral
431,ty donk dmn beli remot xlhome u smart tv,Positif
432,hi windsley ada bantu xlhome fiber adi,Netral
433,xlhome is already bothering bjurm to mntn indihome,Netral
434,xlhome trust ja jarku,Netral
435,hlchome glove,Netral
436,xlhome nice city ga,Positif
437,xlhome lo see,Netral
