content,id,trans_eng,tweet_clean,tweet_english,klasifikasi
"@banjarbase Kalau indihome bisa lewat aplikasinya.. Selain indohome bisa pakai xlhome.. 

Kalau biaya tergantung paket yg ikam ambil",1267428286793019392,"@banjarbase if indihome can be through the application ... besides indohome you can use xlhome ..

If the cost depends on the package that Ikam takes",if indihome can be through the application ... besides indohome you can use xlhome ..If the cost depends on the package that Ikam takes,if indihome can be through the application ... besides indohome you can use xlhome ..if the cost depends on the package that ikam tak,Netral
@juztadreamer @banjarbase pian make xlhome kah kak?,1267427901030326272,@juztadreamer @banjarbase pian make xlhome right sis?,pian make xlhome right sis?,pian make xlhome right sis?,Positif
@anggraini2409 Layanan XLHome Fiber tidak menyediakan layanan telpon ya. Silakan Kocheng cek di web kamim untuk detailnya.  #Thanks ^AdI :),1267391591821393921,@Anggraini2409 XLHOME FIBER SERVICE does not provide telephone services. Please Kocheng Check on the Kamim Web for the details. #Thanks ^adi :),XLHOME FIBER SERVICE does not provide telephone services. Please Kocheng Check on the Kamim Web for the details. ^adi,xlhome fiber service does not provide telephone services. please kocheng check on the kamim web for the details. ^adi,Netral
"@anggraini2409  Hi Kocheng, XLHome Fiber ialah layanan akses internet super cepat hingga 300 Mbps dengan menggunakan kabel serat optik. Cek detailnya di https://t.co/eWvVRLbOiX ya. #Thanks ^AdI :)",1267389681815052288,"@Anggraini2409 Hi Kocheng, Xlhome Fiber is a super fast internet access service up to 300 Mbps using optical fiber cables. Check the details at https://t.co/ewvvrlboix. #Thanks ^adi :)","Hi Kocheng, Xlhome Fiber is a super fast internet access service up to Mbps using optical fiber cables. Check the details at . ^adi","hi kocheng, xlhome fiber is a super fast internet access service up to mbps using optical fiber cables. check the details at . ^adi",Positif
@karinrahmadany @itsmiloheree Kak lokasi dmn xlhome nya?aq lagi kpikiran mau pasang nih.. tp ragu kuat apa tidak signalnya,1267388855348375554,"@karinrahmadany @itsmiloheee sis, the location of the xlhome is? I think again, I want to install it ... but is it strong or not the signal is it","sis, the location of the xlhome is? I think again, I want to install it ... but is it strong or not the signal is it","sis, the location of the xlhome is? i think again, i want to install it ... but is it strong or not the signal is it",Positif
"Hidup udah sulit, @IndiHome jangan bikin sulit juga lah... jaringan provider biznet/xlhome blm bisa masuk daerah saya. Berbaik hatilah anda sama netijen WFH ini dgn berikan koneksi stabil jangan cuma mahal doang. Ini malah email ngasih pemberitahuan promo produk lain. 😒",1267388383514382337,"Life is already difficult, @IndiHome don't make it difficult too ... Biznet/XLhome provider network can not enter my area. Be kind to you with this WFH netijen by giving a stable connection, don't just expensive. This is even an email to give a notification of other product promos. 😒","Life is already difficult, don't make it difficult too ... Biznet/XLhome provider network can not enter my area. Be kind to you with this WFH netijen by giving a stable connection, don't just expensive. This is even an email to give a notification of other product promos.","life is already difficult, don't make it difficult too ... biznet/xlhome provider network can not enter my area. be kind to you with this wfh netijen by giving a stable connection, don't just expensive. this is even an email to give a notification of other product promos.",Negatif
@banjarbase Ganti xlhome,1267385554116599809,@banjarbase replace xlhome,replace xlhome,replace xlhom,Netral
"@MuhammadFaris Biznet brp brp ris, gua xlhome 350 20 mbps",1267368621283500032,"@Muhammadfaris Biznet brp brp ris, cave xlhome 350 20 Mbps","Biznet brp brp ris, cave xlhome Mbps","biznet brp brp ris, cave xlhome mbp",Netral
"@Dickquake @bernadsatriani @IDberry @argamoja Kalau bantul ya paling tinggal indihome.
Banguntapan utara sudah ada xlhome",1267345607510769665,"@Dickquake @bernadsatriani @idberry @argamoja If Bantul is the most live indihome.
North Banguntapan already has xlhome",If Bantul is the most live indihome.North Banguntapan already has xlhome,if bantul is the most live indihome.north banguntapan already has xlhom,Positif
"@xlhomeid KAPAN SIH XLHOME TANPA PUTUS JARINGAN. 
DENSITY KNP DI HILANGKAN DR XLHOME. 
KNP BANYAK FILM ATAU ACARA BERBAYAR. 
SUDAH BAYAR KOK BAYAR LAGI. BAYAR BERANTAI. 
PALING BIKIN KECEWA....",1267292133368623105,"@xlhomeid when is xlhome without a network break.
KNP density is removed from Xlhome.
Why many films or paid events.
I already paid again. Pay serial.
The most disappointed ....",when is xlhome without a network break.KNP density is removed from Xlhome.Why many films or paid events.I already paid again. Pay serial.The most disappointed ....,when is xlhome without a network break.knp density is removed from xlhome.why many films or paid events.i already paid again. pay serial.the most disappointed ....,Positif
"@dewa64  Mohon maaf untuk ketidaknyamanannya, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Dian",1267291418394935297,"@dewa64 apologize for the inconvenience, related to the xlhome fiber service can be conveyed via DM yes :) #thanks ^Dian","apologize for the inconvenience, related to the xlhome fiber service can be conveyed via DM yes ^Dian","apologize for the inconvenience, related to the xlhome fiber service can be conveyed via dm yes ^dian",Netral
@hyunjinmind aku xlhome menyimak...,1267152816541294598,@hyunjinmind I listen ...,I listen ...,i listen ...,Netral
@mesessceres Xlhome lancar jaya tanpa hambataaan~~,1267136694534287360,@mesessceres xlhome smoothly victorious without hambataaan ~~,xlhome smoothly victorious without hambataaan ~~,xlhome smoothly victorious without hambataaan ~~,Positif
@maswonpili kalo xlhome bisa pake indosat nga,1267115608983744512,@maswonpili if xlhome can use indosat nga,if xlhome can use indosat nga,if xlhome can use indosat nga,Netral
@koplakjae xlhome,1267113963096924160,@koplakjae xlhome,xlhome,xlhome,Netral
@giebasukii @IndiHome Kaum Xlhome ga ada keluhan.,1267084939809284096,@giebasukii @indihome xlhome no complaints.,xlhome no complaints.,xlhome no complaints.,Netral
@cocoacshw pke xlhome mkny,1267064832605319168,@cocoacshw pke xlhome mkny,pke xlhome mkny,pke xlhome mkni,Netral
@berflovver @pprifqi kalah lah xlhome pe,1267039640487264257,@berflovver @Pprifqi Lose Xlhome PE,Lose Xlhome PE,lose xlhome p,Netral
@rednesia @h8rdie Axiata juga mau nyaingi indihome pake XLHome,1267017751979163648,@rednesia @h8rdie axiata also wants to live Indihome using xlhome,axiata also wants to live Indihome using xlhome,axiata also wants to live indihome using xlhom,Positif
"@fuadirz  Hi Fuadi, adakah yang bisa kami bantu mengenai XLHome? #Thanks ^AdI :)",1266971572536881152,"@fuadirz Hi Fuadi, can we help you about Xlhome? #Thanks ^adi :)","Hi Fuadi, can we help you about Xlhome? ^adi","hi fuadi, can we help you about xlhome? ^adi",Netral
"@SetsunaKamiki  Hi Hayat, setelah kami bantu cek untuk saat ini alamat Hayat belum ter-cover jaringan XLHome Fiber. Untuk informasi lebih lanjut apakah area Hayat sudah ter-cover atau belum, silahkan cek disini https://t.co/0QqojBNA5H, ya. #Thanks ^Dian",1266894516151173124,"@Etsunakamiki Hi Hayat, after we help check for now the Hayat address has not been covered by the Xlhome Fiber network. For more information whether the life area has been covered or not, please check here https://t.co/0qqojbna5h, yes. #Thanks ^Dian","Hi Hayat, after we help check for now the Hayat address has not been covered by the Xlhome Fiber network. For more information whether the life area has been covered or not, please check here , yes. ^Dian","hi hayat, after we help check for now the hayat address has not been covered by the xlhome fiber network. for more information whether the life area has been covered or not, please check here , yes. ^dian",Positif
@IndiHome Cara pindah provider dri indiehome ke XLhome gmn dah min?,1266883941664845824,@IndiHome How to Move Provider Dri Indiehome To Xlhome How To Dah Min?,How to Move Provider Dri Indiehome To Xlhome How To Dah Min?,how to move provider dri indiehome to xlhome how to dah min?,Netral
"@bagryisgood  Hi Good, cek update promo XLHome Fiber terbaru silakan bisa akses di https://t.co/eWvVRLbOiX ya. #Thanks ^AdI :)",1266883358727917569,"@bagryisgood hi good, check the latest xlhome fiber promo update please access at https://t.co/ewvvrlboix. #Thanks ^adi :)","hi good, check the latest xlhome fiber promo update please access at . ^adi","hi good, check the latest xlhome fiber promo update please access at . ^adi",Positif
"@_gmxgmx @BaleBengong Ada cbn, Biznet, MMT, acenet, xlhome, oxygenid,stream(klo ga salah) tergantung skrang coverage ga areanya itu aja sih",1266865844505772032,"@_gmxgmx @berebengong there are cbn, biznet, mmt, acenet, xlhome, oxygenid, stream (if I'm not mistaken) depending on now the coverage is not the area anyway","there are cbn, biznet, mmt, acenet, xlhome, oxygenid, stream (if I'm not mistaken) depending on now the coverage is not the area anyway","there are cbn, biznet, mmt, acenet, xlhome, oxygenid, stream (if i'm not mistaken) depending on now the coverage is not the area anyway",Netral
"@achoafira balifiber, oxygen, myrepublik, mnc, xlhome",1266742195198951425,"@Achoafira Balifiber, Oxygen, Myrepublik, Mnc, Xlhome","Balifiber, Oxygen, Myrepublik, Mnc, Xlhome","balifiber, oxygen, myrepublik, mnc, xlhom",Netral
"@collegemenfess nder, itu cuma router acces point, harus butuh modem dari ISP macam tsel, indosat dll. Kalo mau ya pasang wifi macam indihome, firstmedia, xlhome😂😂😂😂",1266730420244148225,"@collegemenFess nder, it's just an access point router, must need a modem from ISPs such as Tsel, Indosat etc. If you want to install WiFi such as IndiHome, FirstMedia, Xlhome😂😂😂😂","nder, it's just an access point router, must need a modem from ISPs such as Tsel, Indosat etc. If you want to install WiFi such as IndiHome, FirstMedia, Xlhome","nder, it's just an access point router, must need a modem from isps such as tsel, indosat etc. if you want to install wifi such as indihome, firstmedia, xlhom",Netral
"@megabanjarsari yg xlhome kd permah mencobai pnk kualitas kecepatannya soalnya pilihan paktenya paling murah 20mbps (200rban), indihome paling murah 10mbps (300rban)",1266701590880120832,"@megabanjarsari Yang Xlhome Kd Permana Trying PNK The quality of the speed because the choice of the cheapest pact is 20Mbps (200 thousand), the cheapest IndiHome 10Mbps (300 thousand)","Yang Xlhome Kd Permana Trying PNK The quality of the speed because the choice of the cheapest pact is Mbps (200 thousand), the cheapest IndiHome Mbps (300 thousand)","yang xlhome kd permana trying pnk the quality of the speed because the choice of the cheapest pact is mbps (200 thousand), the cheapest indihome mbps (300 thousand)",Netral
@morningkixxx @syifafdllh XLHome senyum2 melihat provider2 ini,1266684203103469568,@morningkixxx @syifafdllh xlhome smiles,xlhome smiles,xlhome smil,Netral
Bagusan Indihome atau XLhome sih?,1266677560122867712,Bagusan Indihome or Xlhome anyway?,Bagusan Indihome or Xlhome anyway?,bagusan indihome or xlhome anyway?,Netral
"@doniepiscesa @IndiHome @TelkomCare selain indihome enek ? fm, myrep, biznet, xlhome ?",1266620171206057990,"@doniepescesa @indiHome @telkomcare Besides IndiHome Enek? FM, MyRep, Biznet, Xlhome?","Besides IndiHome Enek? FM, MyRep, Biznet, Xlhome?","besides indihome enek? fm, myrep, biznet, xlhome?",Netral
@madpsychedelia Terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Fitri,1266607846860316677,@madpsychedelia related to Xlhome Fiber service can be delivered via DM :) #thanks ^Fitri,related to Xlhome Fiber service can be delivered via DM ^Fitri,related to xlhome fiber service can be delivered via dm ^fitri,Netral
@xlhomeid XLhome ga lemot dn banyak kendala khan bang kek provider indi indi itu?,1266607805034717184,@xlhomeid xlhome isn't slow and there are many obstacles.,xlhome isn't slow and there are many obstacles.,xlhome isn't slow and there are many obstacles.,Positif
"@faisalramdani23 Hi Faisal, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Fitri",1266601996129316864,"@faisalramdani23 hi faisal, related to xlhome fiber services can be delivered via dm yes :) #thanks ^fitri","hi faisal, related to xlhome fiber services can be delivered via dm yes ^fitri","hi faisal, related to xlhome fiber services can be delivered via dm yes ^fitri",Netral
"@Desishrdn  Hi Eci, cek area SIMPRUG DE PORIS  sudah tercover jaringan XLHome Fiber. Mohon informasikan terlebih dahulu untuk alamat lengkapnya berdasar nama Perumahan, Jalan, Blok, Nomor Rumah via DM ya. Kami bantu untuk proses pengecekan terlebih dahulu ya  #Thanks ^AdI :)",1266568003837063169,"@Desishrdn hi eci, check the simprug de poris area that has been covered by xlhome fiber network. Please inform you first for the full address based on the name of the housing, road, block, house number via DM. We help to check the process first, #thanks ^adi :)","hi eci, check the simprug de poris area that has been covered by xlhome fiber network. Please inform you first for the full address based on the name of the housing, road, block, house number via DM. We help to check the process first, ^adi","hi eci, check the simprug de poris area that has been covered by xlhome fiber network. please inform you first for the full address based on the name of the housing, road, block, house number via dm. we help to check the process first, ^adi",Positif
"@augy26  Hi Augy, saat ini XLHome Fiber belum menjangkau area Kota Surabaya. Mohon ditunggu updatenya ya, saat ini kami sedang mengupayakan untuk mencover area yang belum ada jaringan Fiber kami. #Thanks ^AdI :)",1266542839657185280,"@augy26 hi augy, currently Xlhome Fiber has not reached the Surabaya city area. Please wait for the update, we are currently trying to cover areas where our fiber network does not yet have. #Thanks ^adi :)","hi augy, currently Xlhome Fiber has not reached the Surabaya city area. Please wait for the update, we are currently trying to cover areas where our fiber network does not yet have. ^adi","hi augy, currently xlhome fiber has not reached the surabaya city area. please wait for the update, we are currently trying to cover areas where our fiber network does not yet have. ^adi",Netral
"@xlhomeid hai min, saya berminat pasang XLhome dirumah saya. Bisa dibantukah? Sudah buka websitenya untuk daftar dr minggu lalu tp belum ada balasan/tanggapan soalnya. Terima kasih",1266521449969287169,"@xlhomeid hi min, I am interested in installing xlhome at my house. Can you be listed? Already open the website for the list of DR last week but there has been no reply/response. Thank you","hi min, I am interested in installing xlhome at my house. Can you be listed? Already open the website for the list of DR last week but there has been no reply/response. Thank you","hi min, i am interested in installing xlhome at my house. can you be listed? already open the website for the list of dr last week but there has been no reply/response. thank y",Positif
"@xlhomeid Halo, XLHome Fiber di tempat saya kok sepertinya error ya? Bukan speednya tapi beberapa web tidak terload. Sepertinya DNS Error. Gambar di marketplace aja tidak terload. Gimana admin?",1266520938213859328,"@xlhomeid hello, xlhome fiber in my place, how come it seems to be an error huh? Not the speed but some websites are not overwhelmed. Looks like DNS Error. The picture in the marketplace is not overwhelmed. How about admin?","hello, xlhome fiber in my place, how come it seems to be an error huh? Not the speed but some websites are not overwhelmed. Looks like DNS Error. The picture in the marketplace is not overwhelmed. How about admin?","hello, xlhome fiber in my place, how come it seems to be an error huh? not the speed but some websites are not overwhelmed. looks like dns error. the picture in the marketplace is not overwhelmed. how about admin?",Netral
@riyaldi_social1 Handak ganti ke xlhome kah wkwk,1266337192122609665,@riyaldi_social1 Handak replace to xlhome,Handak replace to xlhome,handak replace to xlhom,Netral
"@megabanjarsari indihome bagus jua meg ay, ya kd semurah paket xlhome sih",1266335712581840896,"@megabanjarsari indihome is good, meg ay, yes kd as cheap as the xlhome package","indihome is good, meg ay, yes kd as cheap as the xlhome package","indihome is good, meg ay, yes kd as cheap as the xlhome packag",Positif
"@faisallte  Hi Faisal, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Dian",1266330229225578496,"@faisallte hi faisal, related to xlhome fiber service can be delivered via dm yes :) #thanks ^Dian","hi faisal, related to xlhome fiber service can be delivered via dm yes ^Dian","hi faisal, related to xlhome fiber service can be delivered via dm yes ^dian",Netral
Udah dari hampir 3 bulan yang lalu isi data diri dan curhat di dm twitter nya @xlhomeid dan curhat ke email cs pusat nya juga. Sampai sekarang ga dibuka juga tu arsiran dari xlhome pusat. Yang dibanjarmasin gabisa masangin jadinyaaa,1266319895752392705,"Already from almost 3 months ago filling in personal data and confide in the Twitter DM @xlhomeid and confide in the cs cs e -mail as well. Until now it hasn't been opened also shading from the central xlhome. That was flooded with it, I can't, it will be","Already from almost months ago filling in personal data and confide in the Twitter DM and confide in the cs cs e -mail as well. Until now it hasn't been opened also shading from the central xlhome. That was flooded with it, I can't, it will be","already from almost months ago filling in personal data and confide in the twitter dm and confide in the cs cs e -mail as well. until now it hasn't been opened also shading from the central xlhome. that was flooded with it, i can't, it will b",Netral
@fikribndx XLHome?,1266141877587152896,@fikribndx xlhome?,xlhome?,xlhome?,Netral
"@ainifitrianti @IndiHome Xlhome, CBN, My Republic",1266073700765327362,"@AINIFITRIANTI @IndiHome Xlhome, CBN, My Republic","Xlhome, CBN, My Republic","xlhome, cbn, my republ",Netral
@cloudseng2203 @gureumhaneul Pake xlhome donk hyungers,1266029993718542336,@cloudseng2203 @gureumhaneul using xlhome donk hyungers,using xlhome donk hyungers,using xlhome donk hyung,Netral
"@xlhomeid min, xlhome udah ada di balikpapan belum yaa?",1266024046115860481,"@xlhomeid min, xlhome is already in Balikpapan yet?","min, xlhome is already in Balikpapan yet?","min, xlhome is already in balikpapan yet?",Netral
@NabhanM @xlhomeid @XLHome yaaah masih harus bersabar pin...,1266021689399209984,@Nabhanm @xlhomeid @xlhome yaaah still have to be patient ...,yaaah still have to be patient ...,yaaah still have to be patient ...,Netral
